"CustomerID","Churn","MonthlyRevenue","MonthlyMinutes","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","PercChangeMinutes","PercChangeRevenues","DroppedCalls","BlockedCalls","UnansweredCalls","CustomerCareCalls","ThreewayCalls","ReceivedCalls","OutboundCalls","InboundCalls","PeakCallsInOut","OffPeakCallsInOut","DroppedBlockedCalls","CallForwardingCalls","CallWaitingCalls","MonthsInService","UniqueSubs","ActiveSubs","ServiceArea","Handsets","HandsetModels","CurrentEquipmentDays","AgeHH1","AgeHH2","ChildrenInHH","HandsetRefurbished","HandsetWebCapable","TruckOwner","RVOwner","Homeownership","BuysViaMailOrder","RespondsToMailOffers","OptOutMailings","NonUSTravel","OwnsComputer","HasCreditCard","RetentionCalls","RetentionOffersAccepted","NewCellphoneUser","NotNewCellphoneUser","ReferralsMadeBySubscriber","IncomeGroup","OwnsMotorcycle","AdjustmentsToCreditRating","HandsetPrice","MadeCallToRetentionTeam","CreditRating","PrizmCode","Occupation","MaritalStatus"
3000038,"No",31.66,26,30,0.25,0,0,60,4,0,1,2.3,0,0,0,0,0,1.7,1.7,1,0,0,57,2,2,"OKCTUL918",2,2,601,52,58,"No","No","Yes","No","No","Known","Yes","Yes","No","Yes","No","Yes",0,0,"No","Yes",0,9,"No",1,"30","No","1-Highest","Other","Self","Yes"
3000174,"Yes",16.14,4,17,0,0,0,-4,0,0,1,1.7,0,0,0.2,0,0,3,0.7,1,0,0,55,1,1,"OKCOKC405",1,1,1661,64,64,"No","No","No","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"Yes","No",0,6,"No",0,"Unknown","No","1-Highest","Suburban","Professional","Yes"
3000238,"No",37.99,71,38,0,0,0,146,0,0,0.7,2.7,0,0,2.4,1,0,8.3,2.7,0.7,0,0,53,1,1,"OMALNC402",1,1,1597,76,68,"No","No","No","No","No","Known","No","No","No","No","No","Yes",0,0,"No","No",0,7,"No",0,"Unknown","No","1-Highest","Other","Other","Yes"
3000322,"No",76.74,1008,60,0.5,65,6.7,-52,5.4,2,8.7,82,0,0,244.1,105,41,225.3,197,10.7,0,8.7,52,3,3,"OMALNC402",7,5,163,54,46,"No","Yes","Yes","Yes","Yes","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","No",0,7,"No",1,"40","No","1-Highest","Suburban","Other","Yes"
3000638,"No",30.32,219,30,0,0,0,-58,-59,1.7,0.7,23,2.7,0,12.6,6,0,40.3,25.3,2.3,0,0,51,2,2,"SANMCA210",2,2,776,56,26,"No","No","Yes","Yes","Yes","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,6,"No",0,"30","No","1-Highest","Other","Other","Unknown"
3000678,"No",65.94,572,59,0,45,1.5,-119,-15.6,5.3,0.3,29,0.3,0,293.5,1.3,3.7,118.3,71.3,5.7,0,2,51,1,1,"SLCSLC801",4,4,275,0,0,"No","No","Yes","No","No","Unknown","No","No","No","No","No","No",0,0,"Yes","No",0,0,"No",1,"80","No","3-Good","Other","Other","Unknown"
3000682,"No",32.5,295,30,0,7,0,41,6.4,8.7,0,18.3,3,0,20.8,26.7,1.3,66.3,46.7,8.7,0,0,53,1,1,"NYCMAN917",5,4,181,44,48,"No","No","Yes","Yes","Yes","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,4,"No",0,"30","No","1-Highest","Other","Other","Yes"
3000782,"No",46.94,287,30,0.99,62,0.3,-57,-14,3.3,0.3,23,3.3,0,48.4,17.3,1.3,98.7,19.7,3.7,0,0.7,55,1,1,"BOSBOS617",4,3,831,0,0,"No","Yes","No","No","No","Unknown","No","No","No","No","No","No",0,0,"No","Yes",0,0,"No",1,"10","No","7-Lowest","Other","Other","Unknown"
3000894,"Yes",85.58,890,75,0.99,0,0,-217,18.3,7.3,18.3,87.3,0,0,136.3,96.3,41.3,310.3,105,25.7,0,1.3,49,6,4,"DALDAL214",12,4,475,54,54,"Yes","Yes","No","Yes","No","Known","Yes","Yes","No","No","No","Yes",0,0,"No","Yes",0,5,"No",0,"10","No","1-Highest","Suburban","Other","Yes"
3000974,"No",34.4,399,32,1.73,0,0.2,151,1.1,1.3,3.3,28.3,0,0,79.6,15,0.7,114.7,15,4.7,0,0,51,2,2,"SANSAN210",5,4,47,64,58,"No","No","Yes","No","No","Known","Yes","Yes","No","Yes","Yes","Yes",0,0,"No","Yes",0,7,"No",0,"150","No","1-Highest","Town","Professional","Yes"
3001114,"Yes",316.47,3148,75,17.57,1306,0,997,14.3,17.3,25,89,5.3,0,789.3,77,14,471.7,149,42.3,0,37.7,50,2,2,"DALFTW817",2,2,631,44,36,"Yes","No","Yes","Yes","No","Known","Yes","Yes","No","No","No","No",0,0,"No","Yes",0,6,"Yes",1,"30","No","1-Highest","Other","Other","Yes"
3001178,"No",53.69,478,60,0,0,0,32,-0.4,5.3,2.3,17.7,0,0,87.2,40.3,28.3,171.3,21.3,7.7,0,1,48,3,3,"KCYKCK913",7,5,438,48,44,"No","Yes","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","No",0,9,"No",2,"130","No","1-Highest","Town","Other","Yes"
3001270,"No",529.63,5863,202,55.19,1565,0.1,106,-63.6,7.7,64,157,5.3,0.7,1666.6,343,141.7,1355.7,417.7,71.7,0,126.7,52,1,1,"SANAUS512",8,4,187,34,0,"No","No","Yes","Yes","Yes","Known","No","No","No","No","No","Yes",0,0,"No","Yes",0,2,"No",0,"40","No","1-Highest","Other","Other","No"
